PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=1229 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=1258 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=1287 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=1308 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=1330 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=1342 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=1355 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=1367 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=1364 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=1390 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=1408 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=1377 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=1395 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=1391 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=1390 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=1376 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=1357 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=1312 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=1293 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=1266 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=1239 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=1203 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=1152 ms
