PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=54.8 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=43.1 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=41.4 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=60.8 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=145 ms
