PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=180 ms
